"","Sigma","Type","M","Participant","Graph.Type","Error","Error..unsigned.","Index","Filepath","isValidation","mean"
"745",0.15,"quad",0.1,"P8","area",0.01,0.01,75,"img/quad/area/s0.15m0.1/",0,0
"746",0.2,"trig",-0.4,"P8","area",0.02,0.02,77,"img/trig/area/s0.2m-0.4/",0,0
"747",0.1,"line",0.8,"P8","line",0.02,0.02,78,"img/line/line/s0.1m0.8/",0,0
"748",0.15,"trig",0.1,"P8","scatter",0.19,0.19,79,"img/trig/scatter/s0.15m0.1/",0,0
"749",0.2,"quad",0.1,"P8","scatter",0.1,0.1,80,"img/quad/scatter/s0.2m0.1/",0,0
"750",0.2,"line",-0.1,"P8","scatter",-0.05,0.05,81,"img/line/scatter/s0.2m-0.1/",0,0
"751",0.05,"quad",-0.2,"P8","scatter",0.02,0.02,82,"img/quad/scatter/s0.05m-0.2/",0,0
"752",0.15,"trig",-0.1,"P8","line",-0.03,0.03,83,"img/trig/line/s0.15m-0.1/",0,0
"753",0.05,"line",0.4,"P8","line",0.05,0.05,84,"img/line/line/s0.05m0.4/",0,0
"754",0.15,"trig",-0.2,"P8","area",-0.04,0.04,85,"img/trig/area/s0.15m-0.2/",0,0
"755",0.05,"quad",-0.2,"P8","line",0.02,0.02,86,"img/quad/line/s0.05m-0.2/",0,0
"756",0.05,"line",0.4,"P8","scatter",-0.01,0.01,87,"img/line/scatter/s0.05m0.4/",0,0
"757",0.15,"quad",-0.1,"P8","scatter",-0.16,0.16,88,"img/quad/scatter/s0.15m-0.1/",0,0
"758",0.15,"trig",0.8,"P8","line",0.03,0.03,89,"img/trig/line/s0.15m0.8/",0,0
"759",0.1,"line",0.4,"P8","scatter",0.07,0.07,90,"img/line/scatter/s0.1m0.4/",0,0
"760",0.15,"trig",0.4,"P8","area",0.12,0.12,91,"img/trig/area/s0.15m0.4/",0,0
"761",0.05,"quad",0.8,"P8","area",0.05,0.05,92,"img/quad/area/s0.05m0.8/",0,0
"762",0.15,"line",-0.4,"P8","scatter",-0.24,0.24,93,"img/line/scatter/s0.15m-0.4/",0,0
"763",0.2,"quad",0.4,"P8","area",0.12,0.12,94,"img/quad/area/s0.2m0.4/",0,0
"764",0.1,"trig",0.1,"P8","scatter",0.02,0.02,95,"img/trig/scatter/s0.1m0.1/",0,0
"765",0.05,"line",0.1,"P8","area",0.01,0.01,96,"img/line/area/s0.05m0.1/",0,0
"766",0.15,"trig",-0.2,"P8","line",-0.12,0.12,97,"img/trig/line/s0.15m-0.2/",0,0
"767",0.2,"quad",0.2,"P8","line",0.15,0.15,98,"img/quad/line/s0.2m0.2/",0,0
"768",0.2,"line",-0.4,"P8","scatter",-0.28,0.28,99,"img/line/scatter/s0.2m-0.4/",0,0
"769",0.05,"trig",-0.8,"P10","line",0.01,0.01,0,"img/trig/line/s0.05m-0.8/",0,0.02
"770",0.05,"line",0.2,"P10","area",-0.05,0.05,1,"img/line/area/s0.05m0.2/",0,0.02
"771",0.1,"quad",-0.1,"P10","area",-0.06,0.06,2,"img/quad/area/s0.1m-0.1/",0,0.02
"772",0.05,"line",-0.1,"P10","area",0.03,0.03,3,"img/line/area/s0.05m-0.1/",0,0.02
"773",0.1,"trig",0.1,"P10","line",0.1,0.1,4,"img/trig/line/s0.1m0.1/",0,0.02
"774",0.15,"quad",0.2,"P10","scatter",0.01,0.01,5,"img/quad/scatter/s0.15m0.2/",0,0.02
"775",0.2,"trig",-0.1,"P10","area",0.04,0.04,6,"img/trig/area/s0.2m-0.1/",0,0.02
"776",0.2,"line",0.2,"P10","scatter",-0.07,0.07,7,"img/line/scatter/s0.2m0.2/",0,0.02
"777",0.05,"quad",0.1,"P10","scatter",-0.02,0.02,8,"img/quad/scatter/s0.05m0.1/",0,0.02
"778",0.05,"line",-0.1,"P10","line",0.03,0.03,9,"img/line/line/s0.05m-0.1/",0,0.02
"779",0.05,"trig",0.1,"P10","line",0.04,0.04,10,"img/trig/line/s0.05m0.1/",0,0.02
"780",0.15,"quad",0.4,"P10","scatter",-0.01,0.01,11,"img/quad/scatter/s0.15m0.4/",0,0.02
"781",0.2,"trig",-0.1,"P10","line",0.02,0.02,12,"img/trig/line/s0.2m-0.1/",0,0.02
"782",0.1,"line",0.1,"P10","area",-0.02,0.02,13,"img/line/area/s0.1m0.1/",0,0.02
"783",0.1,"quad",-0.2,"P10","area",-0.06,0.06,14,"img/quad/area/s0.1m-0.2/",0,0.02
"784",0.2,"line",-0.4,"P10","line",0.08,0.08,15,"img/line/line/s0.2m-0.4/",0,0.02
"785",0.2,"trig",-0.2,"P10","line",-0.1,0.1,16,"img/trig/line/s0.2m-0.2/",0,0.02
"786",0.05,"quad",0.2,"P10","scatter",0.03,0.03,17,"img/quad/scatter/s0.05m0.2/",0,0.02
"787",0.1,"trig",-0.1,"P10","line",0.01,0.01,18,"img/trig/line/s0.1m-0.1/",0,0.02
"788",0.1,"line",0.2,"P10","scatter",0.1,0.1,20,"img/line/scatter/s0.1m0.2/",0,0.02
"789",0.2,"quad",-0.8,"P10","scatter",-0.11,0.11,21,"img/quad/scatter/s0.2m-0.8/",0,0.02
"790",0.15,"line",-0.8,"P10","line",-0.05,0.05,22,"img/line/line/s0.15m-0.8/",0,0.02
"791",0.05,"trig",0.8,"P10","scatter",0.02,0.02,23,"img/trig/scatter/s0.05m0.8/",0,0.02
"792",0.05,"quad",-0.8,"P10","area",0.03,0.03,24,"img/quad/area/s0.05m-0.8/",0,0.02
"793",0.15,"trig",-0.8,"P10","area",-0.12,0.12,25,"img/trig/area/s0.15m-0.8/",0,0.02
"794",0.1,"line",0.8,"P10","scatter",0.08,0.08,26,"img/line/scatter/s0.1m0.8/",0,0.02
"795",0.05,"quad",0.8,"P10","line",0.05,0.05,27,"img/quad/line/s0.05m0.8/",0,0.02
"796",0.1,"line",0.2,"P10","area",-0.05,0.05,28,"img/line/area/s0.1m0.2/",0,0.02
"797",0.2,"trig",-0.8,"P10","area",-0.01,0.01,29,"img/trig/area/s0.2m-0.8/",0,0.02
"798",0.1,"quad",0.8,"P10","area",-0.01,0.01,30,"img/quad/area/s0.1m0.8/",0,0.02
"799",0.1,"trig",-0.2,"P10","line",0.04,0.04,31,"img/trig/line/s0.1m-0.2/",0,0.02
"800",0.15,"line",-0.1,"P10","area",0.04,0.04,32,"img/line/area/s0.15m-0.1/",0,0.02
"801",0.2,"quad",0.4,"P10","scatter",-0.03,0.03,33,"img/quad/scatter/s0.2m0.4/",0,0.02
"802",0.05,"line",0.2,"P10","line",-0.01,0.01,34,"img/line/line/s0.05m0.2/",0,0.02
"803",0.15,"trig",-0.4,"P10","area",0.12,0.12,35,"img/trig/area/s0.15m-0.4/",0,0.02
"804",0.1,"quad",0.4,"P10","area",-0.07,0.07,36,"img/quad/area/s0.1m0.4/",0,0.02
"805",0.1,"trig",0.4,"P10","line",0,0,37,"img/trig/line/s0.1m0.4/",0,0.02
"806",0.15,"line",-0.8,"P10","scatter",-0.11,0.11,39,"img/line/scatter/s0.15m-0.8/",0,0.02
"807",0.05,"quad",-0.4,"P10","scatter",-0.01,0.01,40,"img/quad/scatter/s0.05m-0.4/",0,0.02
"808",0.2,"line",-0.2,"P10","area",-0.17,0.17,41,"img/line/area/s0.2m-0.2/",0,0.02
"809",0.2,"trig",0.8,"P10","scatter",0.08,0.08,42,"img/trig/scatter/s0.2m0.8/",0,0.02
"810",0.15,"quad",0.2,"P10","area",0.15,0.15,43,"img/quad/area/s0.15m0.2/",0,0.02
"811",0.2,"trig",0.4,"P10","line",0.09,0.09,44,"img/trig/line/s0.2m0.4/",0,0.02
"812",0.15,"line",0.1,"P10","line",0.05,0.05,45,"img/line/line/s0.15m0.1/",0,0.02
"813",0.2,"quad",0.8,"P10","line",-0.21,0.21,46,"img/quad/line/s0.2m0.8/",0,0.02
"814",0.15,"line",0.4,"P10","line",-0.04,0.04,47,"img/line/line/s0.15m0.4/",0,0.02
"815",0.05,"trig",-0.8,"P10","scatter",0.01,0.01,48,"img/trig/scatter/s0.05m-0.8/",0,0.02
"816",0.05,"quad",-0.4,"P10","area",-0.03,0.03,49,"img/quad/area/s0.05m-0.4/",0,0.02
"817",0.1,"trig",-0.2,"P10","scatter",-0.06,0.06,50,"img/trig/scatter/s0.1m-0.2/",0,0.02
"818",0.15,"line",0.8,"P10","area",-0.06,0.06,51,"img/line/area/s0.15m0.8/",0,0.02
"819",0.2,"quad",0.1,"P10","line",-0.12,0.12,52,"img/quad/line/s0.2m0.1/",0,0.02
"820",0.1,"line",-0.8,"P10","scatter",-0.1,0.1,53,"img/line/scatter/s0.1m-0.8/",0,0.02
"821",0.2,"trig",-0.8,"P10","line",-0.05,0.05,54,"img/trig/line/s0.2m-0.8/",0,0.02
"822",0.2,"quad",0.1,"P10","area",0.01,0.01,55,"img/quad/area/s0.2m0.1/",0,0.02
"823",0.05,"trig",-0.2,"P10","area",0,0,56,"img/trig/area/s0.05m-0.2/",0,0.02
"824",0.2,"line",-0.2,"P10","scatter",0.01,0.01,58,"img/line/scatter/s0.2m-0.2/",0,0.02
"825",0.1,"quad",-0.4,"P10","scatter",-0.04,0.04,59,"img/quad/scatter/s0.1m-0.4/",0,0.02
"826",0.2,"line",0.8,"P10","area",-0.07,0.07,60,"img/line/area/s0.2m0.8/",0,0.02
"827",0.15,"trig",-0.2,"P10","scatter",-0.17,0.17,61,"img/trig/scatter/s0.15m-0.2/",0,0.02
"828",0.1,"quad",-0.8,"P10","line",-0.04,0.04,62,"img/quad/line/s0.1m-0.8/",0,0.02
"829",0.1,"trig",0.2,"P10","line",0.03,0.03,63,"img/trig/line/s0.1m0.2/",0,0.02
"830",0.1,"line",-0.8,"P10","area",0.06,0.06,64,"img/line/area/s0.1m-0.8/",0,0.02
"831",0.05,"quad",-0.4,"P10","line",-0.03,0.03,65,"img/quad/line/s0.05m-0.4/",0,0.02
"832",0.05,"line",-0.1,"P10","scatter",0.02,0.02,66,"img/line/scatter/s0.05m-0.1/",0,0.02
"833",0.1,"trig",-0.1,"P10","scatter",-0.08,0.08,67,"img/trig/scatter/s0.1m-0.1/",0,0.02
"834",0.15,"quad",0.2,"P10","line",0.05,0.05,68,"img/quad/line/s0.15m0.2/",0,0.02
"835",0.05,"trig",0.4,"P10","area",0.05,0.05,69,"img/trig/area/s0.05m0.4/",0,0.02
"836",0.15,"line",0.8,"P10","scatter",0.12,0.12,70,"img/line/scatter/s0.15m0.8/",0,0.02
"837",0.1,"quad",-0.4,"P10","line",-0.07,0.07,71,"img/quad/line/s0.1m-0.4/",0,0.02
"838",0.15,"line",-0.4,"P10","line",-0.05,0.05,72,"img/line/line/s0.15m-0.4/",0,0.02
"839",0.1,"trig",-0.4,"P10","area",-0.02,0.02,73,"img/trig/area/s0.1m-0.4/",0,0.02
"840",0.2,"quad",0.2,"P10","area",-0.26,0.26,74,"img/quad/area/s0.2m0.2/",0,0.02
"841",0.15,"trig",0.1,"P10","area",0.12,0.12,75,"img/trig/area/s0.15m0.1/",0,0.02
"842",0.2,"line",-0.4,"P10","area",-0.16,0.16,77,"img/line/area/s0.2m-0.4/",0,0.02
"843",0.1,"quad",0.8,"P10","line",-0.03,0.03,78,"img/quad/line/s0.1m0.8/",0,0.02
"844",0.15,"line",0.1,"P10","scatter",0.17,0.17,79,"img/line/scatter/s0.15m0.1/",0,0.02
"845",0.2,"trig",0.1,"P10","scatter",0.16,0.16,80,"img/trig/scatter/s0.2m0.1/",0,0.02
"846",0.2,"quad",-0.1,"P10","scatter",0,0,81,"img/quad/scatter/s0.2m-0.1/",0,0.02
"847",0.05,"trig",-0.2,"P10","scatter",-0.01,0.01,82,"img/trig/scatter/s0.05m-0.2/",0,0.02
"848",0.15,"line",-0.1,"P10","line",0.07,0.07,83,"img/line/line/s0.15m-0.1/",0,0.02
"849",0.05,"quad",0.4,"P10","line",0.01,0.01,84,"img/quad/line/s0.05m0.4/",0,0.02
"850",0.15,"line",-0.2,"P10","area",-0.03,0.03,85,"img/line/area/s0.15m-0.2/",0,0.02
"851",0.05,"trig",-0.2,"P10","line",0.01,0.01,86,"img/trig/line/s0.05m-0.2/",0,0.02
"852",0.05,"quad",0.4,"P10","scatter",0.01,0.01,87,"img/quad/scatter/s0.05m0.4/",0,0.02
"853",0.15,"trig",-0.1,"P10","scatter",-0.13,0.13,88,"img/trig/scatter/s0.15m-0.1/",0,0.02
"854",0.15,"line",0.8,"P10","line",0.1,0.1,89,"img/line/line/s0.15m0.8/",0,0.02
"855",0.1,"quad",0.4,"P10","scatter",0.03,0.03,90,"img/quad/scatter/s0.1m0.4/",0,0.02
"856",0.15,"line",0.4,"P10","area",-0.07,0.07,91,"img/line/area/s0.15m0.4/",0,0.02
"857",0.05,"trig",0.8,"P10","area",0.03,0.03,92,"img/trig/area/s0.05m0.8/",0,0.02
"858",0.15,"quad",-0.4,"P10","scatter",-0.08,0.08,93,"img/quad/scatter/s0.15m-0.4/",0,0.02
"859",0.2,"trig",0.4,"P10","area",0.09,0.09,94,"img/trig/area/s0.2m0.4/",0,0.02
"860",0.1,"line",0.1,"P10","scatter",-0.09,0.09,95,"img/line/scatter/s0.1m0.1/",0,0.02
"861",0.05,"quad",0.1,"P10","area",-0.08,0.08,96,"img/quad/area/s0.05m0.1/",0,0.02
"862",0.15,"line",-0.2,"P10","line",0.06,0.06,97,"img/line/line/s0.15m-0.2/",0,0.02
"863",0.2,"trig",0.2,"P10","line",-0.08,0.08,98,"img/trig/line/s0.2m0.2/",0,0.02
"864",0.2,"quad",-0.4,"P10","scatter",-0.07,0.07,99,"img/quad/scatter/s0.2m-0.4/",0,0.02
"865",0.05,"quad",-0.8,"P11","line",0.03,0.03,0,"img/quad/line/s0.05m-0.8/",0,0.0525
"866",0.05,"trig",0.2,"P11","area",0.02,0.02,1,"img/trig/area/s0.05m0.2/",0,0.0525
"867",0.1,"line",-0.1,"P11","area",-0.03,0.03,2,"img/line/area/s0.1m-0.1/",0,0.0525
"868",0.05,"trig",-0.1,"P11","area",-0.05,0.05,3,"img/trig/area/s0.05m-0.1/",0,0.0525
"869",0.1,"quad",0.1,"P11","line",0.05,0.05,4,"img/quad/line/s0.1m0.1/",0,0.0525
"870",0.15,"line",0.2,"P11","scatter",0.29,0.29,5,"img/line/scatter/s0.15m0.2/",0,0.0525
"871",0.2,"quad",-0.1,"P11","area",0,0,6,"img/quad/area/s0.2m-0.1/",0,0.0525
"872",0.2,"trig",0.2,"P11","scatter",0.27,0.27,7,"img/trig/scatter/s0.2m0.2/",0,0.0525
"873",0.05,"line",0.1,"P11","scatter",0.04,0.04,8,"img/line/scatter/s0.05m0.1/",0,0.0525
"874",0.05,"trig",-0.1,"P11","line",-0.01,0.01,9,"img/trig/line/s0.05m-0.1/",0,0.0525
"875",0.05,"quad",0.1,"P11","line",0.02,0.02,10,"img/quad/line/s0.05m0.1/",0,0.0525
"876",0.15,"line",0.4,"P11","scatter",0.21,0.21,11,"img/line/scatter/s0.15m0.4/",0,0.0525
"877",0.2,"quad",-0.1,"P11","line",-0.01,0.01,12,"img/quad/line/s0.2m-0.1/",0,0.0525
"878",0.1,"trig",0.1,"P11","area",0.1,0.1,13,"img/trig/area/s0.1m0.1/",0,0.0525
"879",0.1,"line",-0.2,"P11","area",0.04,0.04,14,"img/line/area/s0.1m-0.2/",0,0.0525
"880",0.2,"trig",-0.4,"P11","line",-0.08,0.08,15,"img/trig/line/s0.2m-0.4/",0,0.0525
"881",0.2,"quad",-0.2,"P11","line",-0.02,0.02,16,"img/quad/line/s0.2m-0.2/",0,0.0525
"882",0.05,"line",0.2,"P11","scatter",-0.01,0.01,17,"img/line/scatter/s0.05m0.2/",0,0.0525
"883",0.1,"quad",-0.1,"P11","line",0.07,0.07,18,"img/quad/line/s0.1m-0.1/",0,0.0525
"884",0.1,"trig",0.2,"P11","scatter",0.13,0.13,20,"img/trig/scatter/s0.1m0.2/",0,0.0525
"885",0.2,"line",-0.8,"P11","scatter",-0.15,0.15,21,"img/line/scatter/s0.2m-0.8/",0,0.0525
"886",0.15,"trig",-0.8,"P11","line",-0.12,0.12,22,"img/trig/line/s0.15m-0.8/",0,0.0525
"887",0.05,"quad",0.8,"P11","scatter",0.04,0.04,23,"img/quad/scatter/s0.05m0.8/",0,0.0525
"888",0.05,"line",-0.8,"P11","area",0.03,0.03,24,"img/line/area/s0.05m-0.8/",0,0.0525
"889",0.15,"quad",-0.8,"P11","area",-0.06,0.06,25,"img/quad/area/s0.15m-0.8/",0,0.0525
"890",0.1,"trig",0.8,"P11","scatter",0.22,0.22,26,"img/trig/scatter/s0.1m0.8/",0,0.0525
"891",0.05,"line",0.8,"P11","line",0.03,0.03,27,"img/line/line/s0.05m0.8/",0,0.0525
"892",0.1,"trig",0.2,"P11","area",0.17,0.17,28,"img/trig/area/s0.1m0.2/",0,0.0525
"893",0.2,"quad",-0.8,"P11","area",-0.02,0.02,29,"img/quad/area/s0.2m-0.8/",0,0.0525
"894",0.1,"line",0.8,"P11","area",0.15,0.15,30,"img/line/area/s0.1m0.8/",0,0.0525
"895",0.1,"quad",-0.2,"P11","line",0.01,0.01,31,"img/quad/line/s0.1m-0.2/",0,0.0525
"896",0.15,"trig",-0.1,"P11","area",0.03,0.03,32,"img/trig/area/s0.15m-0.1/",0,0.0525
"897",0.2,"line",0.4,"P11","scatter",-0.02,0.02,33,"img/line/scatter/s0.2m0.4/",0,0.0525
"898",0.05,"trig",0.2,"P11","line",0.02,0.02,34,"img/trig/line/s0.05m0.2/",0,0.0525
"899",0.15,"quad",-0.4,"P11","area",-0.08,0.08,35,"img/quad/area/s0.15m-0.4/",0,0.0525
"900",0.1,"line",0.4,"P11","area",-0.03,0.03,36,"img/line/area/s0.1m0.4/",0,0.0525
"901",0.1,"quad",0.4,"P11","line",-0.01,0.01,37,"img/quad/line/s0.1m0.4/",0,0.0525
"902",0.15,"trig",-0.8,"P11","scatter",0.08,0.08,39,"img/trig/scatter/s0.15m-0.8/",0,0.0525
"903",0.05,"line",-0.4,"P11","scatter",-0.02,0.02,40,"img/line/scatter/s0.05m-0.4/",0,0.0525
"904",0.2,"trig",-0.2,"P11","area",-0.14,0.14,41,"img/trig/area/s0.2m-0.2/",0,0.0525
"905",0.2,"quad",0.8,"P11","scatter",-0.07,0.07,42,"img/quad/scatter/s0.2m0.8/",0,0.0525
"906",0.15,"line",0.2,"P11","area",0.18,0.18,43,"img/line/area/s0.15m0.2/",0,0.0525
"907",0.2,"quad",0.4,"P11","line",-0.01,0.01,44,"img/quad/line/s0.2m0.4/",0,0.0525
"908",0.15,"trig",0.1,"P11","line",0.05,0.05,45,"img/trig/line/s0.15m0.1/",0,0.0525
"909",0.2,"line",0.8,"P11","line",0.29,0.29,46,"img/line/line/s0.2m0.8/",0,0.0525
"910",0.15,"trig",0.4,"P11","line",0.12,0.12,47,"img/trig/line/s0.15m0.4/",0,0.0525
"911",0.05,"quad",-0.8,"P11","scatter",-0.06,0.06,48,"img/quad/scatter/s0.05m-0.8/",0,0.0525
"912",0.05,"line",-0.4,"P11","area",0.08,0.08,49,"img/line/area/s0.05m-0.4/",0,0.0525
"913",0.1,"quad",-0.2,"P11","scatter",-0.13,0.13,50,"img/quad/scatter/s0.1m-0.2/",0,0.0525
"914",0.15,"trig",0.8,"P11","area",0.1,0.1,51,"img/trig/area/s0.15m0.8/",0,0.0525
"915",0.2,"line",0.1,"P11","line",-0.03,0.03,52,"img/line/line/s0.2m0.1/",0,0.0525
"916",0.1,"trig",-0.8,"P11","scatter",-0.13,0.13,53,"img/trig/scatter/s0.1m-0.8/",0,0.0525
"917",0.2,"quad",-0.8,"P11","line",-0.16,0.16,54,"img/quad/line/s0.2m-0.8/",0,0.0525
"918",0.2,"line",0.1,"P11","area",-0.01,0.01,55,"img/line/area/s0.2m0.1/",0,0.0525
"919",0.05,"quad",-0.2,"P11","area",-0.03,0.03,56,"img/quad/area/s0.05m-0.2/",0,0.0525
"920",0.2,"trig",-0.2,"P11","scatter",-0.09,0.09,58,"img/trig/scatter/s0.2m-0.2/",0,0.0525
"921",0.1,"line",-0.4,"P11","scatter",-0.06,0.06,59,"img/line/scatter/s0.1m-0.4/",0,0.0525
"922",0.2,"trig",0.8,"P11","area",0.02,0.02,60,"img/trig/area/s0.2m0.8/",0,0.0525
"923",0.15,"quad",-0.2,"P11","scatter",-0.2,0.2,61,"img/quad/scatter/s0.15m-0.2/",0,0.0525
"924",0.1,"line",-0.8,"P11","line",-0.03,0.03,62,"img/line/line/s0.1m-0.8/",0,0.0525
"925",0.1,"quad",0.2,"P11","line",0.07,0.07,63,"img/quad/line/s0.1m0.2/",0,0.0525
"926",0.1,"trig",-0.8,"P11","area",-0.13,0.13,64,"img/trig/area/s0.1m-0.8/",0,0.0525
"927",0.05,"line",-0.4,"P11","line",-0.04,0.04,65,"img/line/line/s0.05m-0.4/",0,0.0525
"928",0.05,"trig",-0.1,"P11","scatter",-0.04,0.04,66,"img/trig/scatter/s0.05m-0.1/",0,0.0525
"929",0.1,"quad",-0.1,"P11","scatter",0.01,0.01,67,"img/quad/scatter/s0.1m-0.1/",0,0.0525
"930",0.15,"line",0.2,"P11","line",0.02,0.02,68,"img/line/line/s0.15m0.2/",0,0.0525
"931",0.05,"quad",0.4,"P11","area",0,0,69,"img/quad/area/s0.05m0.4/",0,0.0525
"932",0.15,"trig",0.8,"P11","scatter",0.07,0.07,70,"img/trig/scatter/s0.15m0.8/",0,0.0525
"933",0.1,"line",-0.4,"P11","line",0,0,71,"img/line/line/s0.1m-0.4/",0,0.0525
"934",0.15,"trig",-0.4,"P11","line",0.12,0.12,72,"img/trig/line/s0.15m-0.4/",0,0.0525
"935",0.1,"quad",-0.4,"P11","area",0.02,0.02,73,"img/quad/area/s0.1m-0.4/",0,0.0525
"936",0.2,"line",0.2,"P11","area",0.05,0.05,74,"img/line/area/s0.2m0.2/",0,0.0525
"937",0.15,"quad",0.1,"P11","area",0.1,0.1,75,"img/quad/area/s0.15m0.1/",0,0.0525
"938",0.2,"trig",-0.4,"P11","area",-0.14,0.14,77,"img/trig/area/s0.2m-0.4/",0,0.0525
"939",0.1,"line",0.8,"P11","line",-0.06,0.06,78,"img/line/line/s0.1m0.8/",0,0.0525
"940",0.15,"trig",0.1,"P11","scatter",0.18,0.18,79,"img/trig/scatter/s0.15m0.1/",0,0.0525
"941",0.2,"quad",0.1,"P11","scatter",0.08,0.08,80,"img/quad/scatter/s0.2m0.1/",0,0.0525
"942",0.2,"line",-0.1,"P11","scatter",-0.15,0.15,81,"img/line/scatter/s0.2m-0.1/",0,0.0525
"943",0.05,"quad",-0.2,"P11","scatter",0.03,0.03,82,"img/quad/scatter/s0.05m-0.2/",0,0.0525
"944",0.15,"trig",-0.1,"P11","line",-0.03,0.03,83,"img/trig/line/s0.15m-0.1/",0,0.0525
"945",0.05,"line",0.4,"P11","line",0.08,0.08,84,"img/line/line/s0.05m0.4/",0,0.0525
"946",0.15,"trig",-0.2,"P11","area",-0.14,0.14,85,"img/trig/area/s0.15m-0.2/",0,0.0525
"947",0.05,"quad",-0.2,"P11","line",-0.03,0.03,86,"img/quad/line/s0.05m-0.2/",0,0.0525
"948",0.05,"line",0.4,"P11","scatter",0.07,0.07,87,"img/line/scatter/s0.05m0.4/",0,0.0525
"949",0.15,"quad",-0.1,"P11","scatter",-0.12,0.12,88,"img/quad/scatter/s0.15m-0.1/",0,0.0525
"950",0.15,"trig",0.8,"P11","line",0.05,0.05,89,"img/trig/line/s0.15m0.8/",0,0.0525
"951",0.1,"line",0.4,"P11","scatter",0.15,0.15,90,"img/line/scatter/s0.1m0.4/",0,0.0525
"952",0.15,"trig",0.4,"P11","area",0.18,0.18,91,"img/trig/area/s0.15m0.4/",0,0.0525
"953",0.05,"quad",0.8,"P11","area",0.03,0.03,92,"img/quad/area/s0.05m0.8/",0,0.0525
"954",0.15,"line",-0.4,"P11","scatter",-0.15,0.15,93,"img/line/scatter/s0.15m-0.4/",0,0.0525
"955",0.2,"quad",0.4,"P11","area",0.16,0.16,94,"img/quad/area/s0.2m0.4/",0,0.0525
"956",0.1,"trig",0.1,"P11","scatter",0.11,0.11,95,"img/trig/scatter/s0.1m0.1/",0,0.0525
"957",0.05,"line",0.1,"P11","area",0.04,0.04,96,"img/line/area/s0.05m0.1/",0,0.0525
"958",0.15,"trig",-0.2,"P11","line",-0.1,0.1,97,"img/trig/line/s0.15m-0.2/",0,0.0525
"959",0.2,"quad",0.2,"P11","line",0.03,0.03,98,"img/quad/line/s0.2m0.2/",0,0.0525
"960",0.2,"line",-0.4,"P11","scatter",-0.1,0.1,99,"img/line/scatter/s0.2m-0.4/",0,0.0525
"961",0.05,"line",-0.8,"P12","line",0.01,0.01,0,"img/line/line/s0.05m-0.8/",0,0.0525
"962",0.05,"quad",0.2,"P12","area",0,0,1,"img/quad/area/s0.05m0.2/",0,0.0525
"963",0.1,"trig",-0.1,"P12","area",0.13,0.13,2,"img/trig/area/s0.1m-0.1/",0,0.0525
"964",0.05,"quad",-0.1,"P12","area",-0.03,0.03,3,"img/quad/area/s0.05m-0.1/",0,0.0525
"965",0.1,"line",0.1,"P12","line",0.07,0.07,4,"img/line/line/s0.1m0.1/",0,0.0525
"966",0.15,"trig",0.2,"P12","scatter",0.2,0.2,5,"img/trig/scatter/s0.15m0.2/",0,0.0525
"967",0.2,"line",-0.1,"P12","area",-0.23,0.23,6,"img/line/area/s0.2m-0.1/",0,0.0525
"968",0.2,"quad",0.2,"P12","scatter",0.03,0.03,7,"img/quad/scatter/s0.2m0.2/",0,0.0525
"969",0.05,"trig",0.1,"P12","scatter",0,0,8,"img/trig/scatter/s0.05m0.1/",0,0.0525
"970",0.05,"quad",-0.1,"P12","line",-0.02,0.02,9,"img/quad/line/s0.05m-0.1/",0,0.0525
"971",0.05,"line",0.1,"P12","line",0.05,0.05,10,"img/line/line/s0.05m0.1/",0,0.0525
"972",0.15,"trig",0.4,"P12","scatter",0.01,0.01,11,"img/trig/scatter/s0.15m0.4/",0,0.0525
"973",0.2,"line",-0.1,"P12","line",-0.11,0.11,12,"img/line/line/s0.2m-0.1/",0,0.0525
"974",0.1,"quad",0.1,"P12","area",0.15,0.15,13,"img/quad/area/s0.1m0.1/",0,0.0525
"975",0.1,"trig",-0.2,"P12","area",0.02,0.02,14,"img/trig/area/s0.1m-0.2/",0,0.0525
"976",0.2,"quad",-0.4,"P12","line",-0.04,0.04,15,"img/quad/line/s0.2m-0.4/",0,0.0525
"977",0.2,"line",-0.2,"P12","line",-0.01,0.01,16,"img/line/line/s0.2m-0.2/",0,0.0525
"978",0.05,"trig",0.2,"P12","scatter",-0.05,0.05,17,"img/trig/scatter/s0.05m0.2/",0,0.0525
"979",0.1,"line",-0.1,"P12","line",0.02,0.02,18,"img/line/line/s0.1m-0.1/",0,0.0525
"980",0.1,"quad",0.2,"P12","scatter",0.04,0.04,20,"img/quad/scatter/s0.1m0.2/",0,0.0525
"981",0.2,"trig",-0.8,"P12","scatter",-0.18,0.18,21,"img/trig/scatter/s0.2m-0.8/",0,0.0525
"982",0.15,"quad",-0.8,"P12","line",0,0,22,"img/quad/line/s0.15m-0.8/",0,0.0525
"983",0.05,"line",0.8,"P12","scatter",0.03,0.03,23,"img/line/scatter/s0.05m0.8/",0,0.0525
"984",0.05,"trig",-0.8,"P12","area",0.01,0.01,24,"img/trig/area/s0.05m-0.8/",0,0.0525
"985",0.15,"line",-0.8,"P12","area",0.08,0.08,25,"img/line/area/s0.15m-0.8/",0,0.0525
"986",0.1,"quad",0.8,"P12","scatter",0.13,0.13,26,"img/quad/scatter/s0.1m0.8/",0,0.0525
"987",0.05,"trig",0.8,"P12","line",0.06,0.06,27,"img/trig/line/s0.05m0.8/",0,0.0525
